# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 189 697 34 4035 1400
p 2 199 709 12 4475 1579
p 2 170 740 10 4593 1705
p 2 123 784 13 4530 1529
p 2 68 852 0 4930 1744
p 2 51 862 7 4788 1642
p 2 65 854 1 4210 1696
p 2 59 853 8 4194 1671
p 2 61 859 0 3953 1692
p 2 35 881 4 4095 1579
p 2 32 888 0 4050 1647
p 2 38 882 0 4138 1636
p 2 14 906 0 4179 1709
p 2 21 898 1 4554 1721
p 2 22 898 0 4263 1725
p 2 21 897 2 4441 1683
p 2 8 912 0 4219 1636
p 2 14 905 1 4604 1659
p 2 11 909 0 4257 1630
p 2 17 903 0 4574 1689
p 2 0 920 0 4589 1692
p 2 6 914 0 4645 1611
p 2 9 911 0 4405 1655
p 2 6 914 0 4907 1630
p 2 3 917 0 4485 1685
p 2 1 918 1 5103 1641
p 2 2 918 0 4397 1638
p 2 0 920 0 5037 1641
p 2 1 919 0 4888 1640
p 2 5 914 1 5389 1660
p 2 0 920 0 4889 1655
p 2 2 918 0 5544 1707
p 2 0 920 0 5184 1716
p 2 1 919 0 5639 1698
p 2 0 920 0 5226 1724
p 2 3 917 0 5736 1666
p 2 1 919 0 5304 1707
p 2 0 920 0 5782 1686
p 2 0 920 0 5232 1656
p 2 1 919 0 5657 1640
p 2 1 919 0 5446 1647
p 2 3 917 0 5958 1630
p 2 0 920 0 5222 1656
p 2 2 918 0 6058 1644
p 2 0 920 0 5506 1677
p 2 4 916 0 6048 1672
p 2 1 919 0 5736 1684
p 2 0 920 0 6402 1653
p 2 1 919 0 6144 1728
p 2 1 919 0 6300 1682
p 2 0 920 0 5952 1691
p 2 1 919 0 6511 1689
p 2 0 920 0 6231 1712
p 2 1 919 0 7004 1708
p 2 0 920 0 6621 1741
p 2 3 917 0 6976 1696
p 2 0 920 0 6552 1722
p 2 2 918 0 7323 1723
p 2 0 920 0 6653 1727
p 2 2 918 0 7057 1676
p 2 0 920 0 6880 1742
p 2 0 920 0 7240 1709
p 2 0 920 0 6864 1711
p 2 3 917 0 7441 1673
p 2 1 919 0 7155 1753
p 2 0 920 0 7594 1750
p 2 0 920 0 7047 1718
p 2 1 919 0 7563 1731
p 2 0 920 0 7478 1780
p 2 1 919 0 8365 1782
p 2 0 920 0 8595 1829
p 2 0 920 0 8558 1757
p 2 0 920 0 8131 1778
p 2 1 919 0 8742 1761
p 2 0 920 0 8475 1791
p 2 0 920 0 8908 1742
p 2 1 919 0 8618 1797
p 2 0 920 0 9017 1769
p 2 1 919 0 8587 1809
p 2 0 920 0 9200 1803
p 2 1 919 0 8485 1819
p 2 2 918 0 9050 1806
p 2 1 919 0 8753 1797
p 2 2 918 0 8853 1743
p 2 0 920 0 7435 1503
p 2 0 918 2 7520 1507
p 2 0 917 3 7390 1469
p 2 0 916 4 7463 1487
p 2 0 918 2 7559 1468
p 2 0 915 5 7497 1497
p 2 0 911 9 7451 1466
p 2 0 913 7 8124 1462
p 2 2 915 3 7732 1499
p 2 0 913 7 6918 1442
p 2 0 913 7 6772 1387
p 2 2 914 4 7115 1430
p 2 0 913 7 7365 1425
p 2 0 917 3 7133 1431
p 2 0 908 12 7181 1400
p 2 0 915 5 7086 1440
p 2 0 914 6 7032 1429
p 2 0 913 7 7030 1435
p 2 0 913 7 7604 1429
p 2 0 918 2 6986 1424
p 2 0 911 9 7543 1445
p 2 1 910 9 7459 1475
p 2 0 913 7 7318 1445
p 2 0 914 6 7428 1446
p 2 1 913 6 7526 1463
p 2 1 913 6 7499 1447
p 2 0 911 9 7393 1418
p 2 2 909 9 7533 1468
p 2 0 915 5 7618 1468
p 2 0 911 9 7346 1470
p 2 0 915 5 7560 1482
p 2 0 916 4 7471 1489
p 2 1 911 8 7136 1456
p 2 0 916 4 7079 1449
p 2 0 915 5 7076 1439
p 2 0 910 10 6798 1443
p 2 0 914 6 7132 1422
p 2 0 916 4 7435 1445
p 2 1 913 6 7158 1454
p 2 0 911 9 6836 1426
p 2 0 916 4 7149 1422
p 2 0 917 3 7151 1430
p 2 0 915 5 6947 1415
p 2 0 912 8 7009 1409
p 2 0 912 8 6853 1399
p 2 0 914 6 6864 1409
p 2 0 913 7 7154 1426
p 2 0 914 6 7294 1435
p 2 0 914 6 7580 1431
p 2 2 910 8 7632 1457
p 2 0 907 13 7438 1409
