# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 17664 3305
p 2 0 346 574 568 463
p 2 0 263 657 408 370
p 2 0 174 746 324 294
p 2 0 202 718 357 318
p 2 0 99 821 243 228
p 2 0 104 816 233 226
p 2 0 73 847 212 203
p 2 0 47 873 185 181
p 2 0 47 873 193 183
p 2 0 55 865 194 187
p 2 0 57 863 195 186
p 2 0 73 847 213 201
p 2 0 43 877 179 175
p 2 0 60 860 194 190
p 2 0 31 889 177 167
p 2 0 30 890 162 160
p 2 0 20 900 166 158
p 2 0 40 880 185 175
p 2 0 15 905 155 152
p 2 0 28 892 181 166
p 2 0 32 888 177 169
p 2 0 26 894 167 161
p 2 0 27 893 166 161
p 2 0 46 874 180 177
p 2 0 12 908 149 149
p 2 0 26 894 165 161
p 2 0 25 895 164 160
p 2 0 18 902 156 155
p 2 0 26 894 162 161
p 2 0 31 889 172 168
p 2 0 19 901 157 154
p 2 0 19 901 158 155
p 2 0 34 886 173 168
p 2 0 21 899 161 157
p 2 0 29 891 165 161
p 2 0 29 891 167 163
p 2 0 23 897 158 155
p 2 0 17 903 154 152
p 2 0 22 898 160 156
p 2 0 18 902 160 155
p 2 0 17 903 156 152
p 2 0 30 890 177 165
p 2 0 10 910 151 147
p 2 0 14 906 155 150
p 2 0 24 896 163 159
p 2 0 14 906 155 151
p 2 0 27 893 161 160
p 2 0 19 901 155 155
p 2 0 14 906 153 151
p 2 0 19 901 157 154
p 2 0 31 889 170 165
p 2 0 32 888 178 166
p 2 0 23 897 161 158
i 2 920 0 0 38036 3608
p 2 0 876 44 7208 1045
p 2 0 803 117 7649 973
p 2 0 825 95 7560 1009
p 2 0 814 106 8388 1007
p 2 0 786 134 8145 996
p 2 0 847 73 8057 1028
p 2 0 804 116 8438 1000
p 2 0 795 125 8166 1017
p 2 0 840 80 8470 1036
p 2 0 819 101 8197 1024
p 2 0 795 125 8356 1023
p 2 0 842 78 8574 1045
p 2 0 805 115 8314 1011
p 2 0 801 119 8156 1022
p 2 0 822 98 8483 1030
p 2 0 835 85 8472 1041
p 2 0 804 116 8368 1033
p 2 0 842 78 8357 1042
p 2 0 805 115 8296 1012
p 2 0 799 121 8206 1025
p 2 0 817 103 8218 1025
p 2 0 824 96 8542 1043
p 2 0 790 130 8433 1017
p 2 0 831 89 8549 1047
p 2 0 823 97 8553 1035
p 2 0 802 118 8359 1025
p 2 0 814 106 8122 1017
p 2 0 839 81 8536 1043
p 2 0 808 112 8549 1039
p 2 0 851 69 8373 1043
p 2 0 817 103 8566 1020
p 2 0 800 120 8499 1028
p 2 0 810 110 8397 1027
p 2 0 820 100 8355 1034
p 2 0 788 132 8294 1026
p 2 0 817 103 8493 1041
p 2 0 780 140 8361 992
p 2 0 811 109 8335 1033
p 2 0 807 113 8526 1037
p 2 0 815 105 8402 1039
p 2 0 791 129 8539 1033
p 2 0 804 116 8482 1030
p 2 0 818 102 8427 1032
p 2 0 782 138 8308 1011
p 2 0 828 92 8502 1034
p 2 0 811 109 8437 1044
p 2 0 791 129 8473 1037
p 2 0 822 98 8618 1041
p 2 0 838 82 8515 1043
p 2 0 808 112 8543 1038
p 2 0 838 82 8598 1062
p 2 0 817 103 8236 1039
p 2 0 802 118 8627 1042
p 2 0 831 89 8686 1054
p 2 0 814 106 8387 1034
p 2 0 808 112 8478 1051
p 2 0 818 102 8646 1050
p 2 0 807 113 8408 1035
p 2 0 801 119 8438 1036
p 2 0 808 112 8450 1041
p 2 0 834 86 8354 1031
p 2 0 825 95 8487 1048
p 2 0 813 107 8624 1035
p 2 0 841 79 8457 1053
p 2 0 824 96 8750 1055
p 2 0 832 88 8542 1067
p 2 0 846 74 8371 1052
p 2 0 815 105 8499 1040
p 2 0 818 102 8572 1043
p 2 0 838 82 8412 1054
p 2 0 787 133 8578 1015
p 2 0 834 86 8650 1056
p 2 0 821 99 8523 1033
p 2 0 837 83 8785 1049
i 2 920 0 0 19685 3463
p 2 0 468 452 654 559
p 2 0 438 482 534 518
p 2 0 311 609 425 409
p 2 0 331 589 436 424
p 2 0 180 740 297 293
p 2 0 198 722 325 315
p 2 0 146 774 282 268
p 2 0 178 742 291 288
p 2 0 114 806 236 231
p 2 0 205 715 308 297
p 2 0 108 812 240 232
p 2 0 112 808 242 232
p 2 0 163 757 289 272
p 2 0 117 803 247 240
p 2 0 516 404 6435 813
p 2 0 346 574 760 461
p 2 0 203 717 479 324
p 2 0 555 365 6612 855
p 2 0 283 637 767 414
p 2 0 555 365 6823 863
p 2 0 533 387 5862 792
p 2 0 463 457 984 559
p 2 0 462 458 6303 720
p 2 0 384 536 930 497
p 2 0 198 722 419 313
p 2 0 239 681 438 349
p 2 0 139 781 332 262
p 2 0 138 782 297 254
p 2 0 148 772 328 263
p 2 0 252 668 502 358
i 2 920 0 0 18783 3422
p 2 0 531 389 688 603
p 2 0 486 434 596 570
p 2 0 335 585 445 427
p 2 0 297 623 415 398
p 2 0 249 671 371 348
