# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 25794 3424
p 2 0 402 518 795 568
p 2 0 372 548 701 528
p 2 0 185 735 398 328
p 2 0 167 753 351 301
p 2 0 139 781 373 283
p 2 0 173 747 385 310
p 2 0 160 760 364 293
p 2 0 94 826 282 232
p 2 0 91 829 257 224
p 2 0 69 851 233 202
p 2 0 74 846 258 211
p 2 0 106 814 285 240
p 2 0 139 781 354 275
p 2 0 81 839 266 219
p 2 0 72 848 226 205
p 2 0 59 861 228 195
p 2 0 77 843 258 211
p 2 0 106 814 285 241
p 2 0 115 805 296 249
p 2 0 74 846 241 209
p 2 0 101 819 281 240
p 2 0 55 865 222 191
p 2 0 68 852 231 201
p 2 0 115 805 306 247
p 2 0 76 844 257 212
p 2 0 61 859 229 199
p 2 0 105 815 290 241
p 2 0 67 853 231 203
p 2 0 39 881 192 174
p 2 0 34 886 178 168
p 2 0 17 903 159 154
p 2 0 32 888 177 167
p 2 0 46 874 205 182
p 2 0 43 877 200 179
p 2 0 42 878 199 176
p 2 0 74 846 243 207
p 2 0 39 881 188 174
p 2 0 38 882 183 172
p 2 0 39 881 191 174
p 2 0 19 901 159 155
p 2 0 25 895 172 160
p 2 0 37 883 195 173
p 2 0 29 891 178 164
p 2 0 67 853 225 201
p 2 0 81 839 232 210
p 2 0 42 878 207 180
p 2 0 58 862 214 193
p 2 0 30 890 182 167
p 2 0 31 889 182 168
p 2 0 50 870 218 187
p 2 0 39 881 194 173
p 2 0 85 835 247 219
p 2 0 65 855 225 199
p 2 0 54 866 216 191
p 2 0 31 889 178 166
p 2 0 28 892 176 165
p 2 0 57 863 230 194
p 2 0 72 848 238 207
p 2 0 72 848 239 205
p 2 0 56 864 225 191
p 2 0 41 879 196 177
p 2 0 30 890 177 165
p 2 0 36 884 187 173
p 2 0 37 883 193 172
p 2 0 61 859 224 195
p 2 0 45 875 201 181
p 2 0 43 877 205 181
p 2 0 43 877 192 176
p 2 0 38 882 193 175
p 2 0 33 887 190 169
p 2 0 11 909 154 147
p 2 0 14 906 157 150
p 2 0 14 906 163 152
p 2 0 44 876 200 179
p 2 0 37 883 194 172
p 2 0 39 881 191 175
p 2 0 43 877 198 179
p 2 0 36 884 194 173
p 2 0 36 884 185 171
p 2 0 21 899 162 156
p 2 0 38 882 193 173
p 2 0 40 880 194 177
i 2 920 0 0 22663 3215
p 2 0 24 896 179 160
p 2 0 6 914 156 144
p 2 0 6 914 150 143
p 2 0 2 918 143 139
p 2 0 3 917 150 141
p 2 0 3 917 148 141
p 2 0 3 917 150 141
p 2 0 3 917 150 140
p 2 0 3 917 150 141
p 2 0 3 917 148 141
p 2 0 3 917 146 141
p 2 0 8 912 155 144
p 2 0 2 918 143 140
p 2 0 3 917 147 140
p 2 0 2 918 145 139
p 2 0 1 919 145 139
p 2 0 1 919 145 139
p 2 0 1 919 142 139
p 2 0 2 918 147 139
p 2 0 2 918 145 140
p 2 0 1 919 145 138
p 2 0 13 907 166 148
p 2 0 2 918 147 139
p 2 0 1 919 144 139
p 2 0 1 919 147 139
p 2 0 1 919 144 139
p 2 0 1 919 144 139
p 2 0 1 919 144 139
p 2 0 1 919 143 139
p 2 0 1 919 144 138
p 2 0 1 919 144 138
p 2 0 1 919 144 139
p 2 0 15 905 172 151
p 2 0 4 916 148 140
p 2 0 4 916 151 141
p 2 0 1 919 142 138
p 2 0 3 917 147 139
p 2 0 4 916 150 141
p 2 0 4 916 155 141
p 2 0 10 910 161 147
p 2 0 3 917 148 140
p 2 0 4 916 158 141
p 2 0 3 917 149 141
p 2 0 1 919 144 139
p 2 0 4 916 150 141
p 2 0 5 915 148 142
p 2 0 3 917 149 140
i 2 920 0 0 18378 3181
p 2 8 878 34 12276 1645
p 2 1 812 107 6715 1323
p 2 15 853 52 12302 1688
p 2 4 787 129 6229 1282
p 2 7 890 23 11533 1685
p 2 0 804 116 6203 1282
p 2 5 878 37 12385 1763
p 2 2 787 131 6146 1299
p 2 8 869 43 10126 1571
p 2 0 758 162 6012 1237
p 2 6 870 44 10124 1618
p 2 1 752 167 5709 1238
p 2 2 873 45 9531 1568
p 2 0 788 132 5672 1238
p 2 3 855 62 10422 1570
p 2 0 775 145 5976 1270
p 2 3 842 75 10201 1554
p 2 0 781 139 6234 1278
p 2 0 886 34 10821 1651
p 2 0 813 107 5976 1319
p 2 1 900 19 10033 1631
p 2 0 789 131 6047 1307
p 2 2 891 27 10478 1586
p 2 1 810 109 6429 1314
p 2 3 880 37 10774 1549
p 2 3 804 113 6387 1291
p 2 2 865 53 10453 1563
p 2 1 773 146 6339 1236
p 2 2 874 44 10263 1567
p 2 2 782 136 6287 1243
p 2 3 883 34 10275 1566
p 2 3 785 132 6294 1258
p 2 7 867 46 11351 1599
p 2 3 795 122 6011 1227
p 2 15 860 45 11649 1656
p 2 1 780 139 5968 1203
p 2 9 892 19 11519 1703
p 2 1 775 144 5950 1217
p 2 5 894 21 12273 1728
p 2 3 824 93 5953 1285
p 2 6 887 27 10438 1602
p 2 1 814 105 6229 1300
p 2 4 866 50 10122 1588
p 2 0 784 136 5947 1256
p 2 8 864 48 9863 1554
p 2 0 789 131 5949 1238
p 2 2 858 60 10204 1544
p 2 0 767 153 5926 1220
p 2 3 854 63 9972 1546
p 2 1 765 154 5922 1231
p 2 1 848 71 10147 1567
i 2 920 0 0 22547 3338
p 2 1 636 283 3808 912
p 2 0 866 54 8045 1266
p 2 1 711 208 3970 961
p 2 0 868 52 8649 1275
p 2 0 749 171 4201 1010
p 2 0 882 38 8667 1309
p 2 0 713 207 3886 987
p 2 0 861 59 10439 1402
p 2 0 725 195 3871 1033
p 2 0 827 93 9212 1295
p 2 0 703 217 3651 965
p 2 1 819 100 8395 1254
p 2 0 700 220 3738 988
p 2 0 853 67 8856 1329
p 2 0 765 155 3465 1076
p 2 0 872 48 9565 1376
p 2 0 733 187 3527 1016
p 2 1 841 78 8175 1295
p 2 0 719 201 2885 1005
p 2 0 861 59 6940 1239
p 2 0 694 226 3021 972
p 2 2 840 78 8153 1265
p 2 0 712 208 3495 980
p 2 1 864 55 10647 1352
p 2 0 733 187 3147 995
p 2 0 834 86 8226 1214
p 2 1 701 218 3274 932
p 2 0 818 102 7521 1207
p 2 0 708 212 3204 953
p 2 0 847 73 8511 1293
p 2 1 740 179 3290 1014
p 2 0 878 42 8828 1352
p 2 0 753 167 3226 1044
p 2 2 843 75 7760 1297
p 2 0 703 217 3164 980
p 2 1 873 46 7918 1296
p 2 0 732 188 3505 1008
p 2 1 885 34 8260 1378
p 2 0 742 178 3455 1040
p 2 1 858 61 10066 1403
p 2 0 730 190 3378 1019
p 2 0 843 77 9287 1292
p 2 1 727 192 3552 996
p 2 2 819 99 8080 1255
p 2 3 739 178 3320 990
p 2 4 858 58 8807 1350
p 2 1 747 172 3589 1031
p 2 1 886 33 9115 1393
p 2 1 742 177 2932 1041
p 2 3 855 62 7514 1310
p 2 2 738 180 3228 1035
p 2 1 864 55 7394 1256
p 2 1 729 190 3302 1007
p 2 1 868 51 8598 1286
p 2 1 741 178 4042 1022
p 2 0 866 54 11033 1372
p 2 0 749 171 4166 1073
p 2 0 823 97 8954 1273
p 2 3 705 212 3744 1045
i 2 920 0 0 33036 3841
p 2 0 877 43 4775 1078
p 2 0 877 43 6528 1109
p 2 0 889 31 6286 1087
p 2 0 868 52 6831 1070
p 2 0 865 55 6748 1082
p 2 0 887 33 7223 1113
p 2 0 889 31 6711 1098
p 2 0 874 46 7035 1094
p 2 0 892 28 6890 1119
p 2 0 887 33 7158 1133
p 2 0 874 46 7167 1132
p 2 0 860 60 7006 1116
p 2 0 889 31 6931 1099
p 2 0 879 41 7272 1137
p 2 0 889 31 6885 1112
p 2 0 882 38 7161 1116
p 2 0 859 61 7383 1134
p 2 0 873 47 7165 1145
p 2 0 906 14 7423 1143
p 2 0 891 29 7109 1138
p 2 0 879 41 7159 1147
p 2 0 874 46 7122 1140
p 2 0 884 36 7050 1121
p 2 0 882 38 7431 1144
p 2 0 887 33 6835 1115
p 2 0 885 35 7490 1131
p 2 0 894 26 7336 1138
p 2 0 862 58 7368 1107
p 2 0 879 41 7128 1129
p 2 0 885 35 7586 1131
p 2 0 885 35 7356 1114
p 2 0 887 33 7573 1130
p 2 0 888 32 7461 1147
p 2 0 885 35 7356 1129
p 2 0 857 63 7840 1152
p 2 0 883 37 7651 1163
p 2 0 902 18 7535 1154
p 2 0 871 49 7847 1126
p 2 0 890 30 7756 1144
p 2 0 884 36 7701 1130
p 2 0 873 47 7949 1185
p 2 0 876 44 7365 1140
p 2 0 897 23 7928 1141
p 2 0 889 31 7759 1161
p 2 0 885 35 7823 1159
p 2 0 875 45 7518 1142
p 2 0 882 38 7770 1183
p 2 0 874 46 7554 1142
p 2 0 889 31 7907 1147
p 2 0 890 30 7689 1145
p 2 0 900 20 7752 1153
p 2 0 875 45 7844 1135
p 2 0 896 24 7254 1135
p 2 0 881 39 7679 1144
p 2 0 887 33 7375 1132
p 2 0 883 37 7737 1151
p 2 0 896 24 7530 1150
p 2 0 878 42 7606 1119
p 2 0 882 38 7638 1156
p 2 0 885 35 7772 1138
p 2 0 894 26 7433 1114
p 2 0 887 33 7679 1122
p 2 0 891 29 7607 1157
p 2 0 895 25 7497 1142
p 2 0 864 56 7789 1164
i 2 920 0 0 48875 4070
p 2 0 228 692 482 355
p 2 0 135 785 308 266
p 2 0 94 826 258 226
p 2 0 71 849 228 202
p 2 0 42 878 188 177
p 2 0 22 898 171 159
p 2 0 29 891 174 163
p 2 0 31 889 180 165
p 2 0 46 874 201 178
p 2 0 32 888 182 166
p 2 0 40 880 195 172
p 2 0 113 807 343 243
p 2 0 56 864 215 189
p 2 0 32 888 186 166
p 2 0 11 909 151 148
p 2 0 41 879 203 174
p 2 0 39 881 196 173
p 2 0 76 844 264 209
p 2 0 143 777 383 267
p 2 0 61 859 227 194
p 2 0 36 884 187 170
p 2 0 25 895 172 160
p 2 0 23 897 170 159
p 2 0 5 915 144 142
p 2 0 23 897 174 158
p 2 0 27 893 184 161
p 2 0 47 873 214 181
p 2 0 37 883 198 169
p 2 0 45 875 219 180
p 2 0 40 880 200 173
p 2 0 30 890 180 164
p 2 0 19 901 165 154
p 2 0 20 900 164 155
p 2 22 324 574 13070 759
p 2 67 262 591 7725 804
p 2 135 384 401 22270 1458
p 2 0 260 660 825 392
p 2 51 454 415 23996 1282
p 2 0 349 571 1164 487
p 2 12 467 441 17771 995
p 2 0 317 603 1092 455
p 2 12 440 468 17116 936
p 2 0 315 605 1025 440
p 2 9 378 533 11142 735
p 2 0 246 674 783 375
p 2 0 94 826 304 229
p 2 0 72 848 255 205
p 2 0 85 835 270 217
p 2 0 47 873 203 179
p 2 0 273 647 874 398
p 2 0 106 814 363 235
p 2 0 67 853 261 200
p 2 0 62 858 254 192
p 2 0 35 885 194 168
p 2 0 67 853 267 196
p 2 0 52 868 239 184
p 2 0 56 864 249 188
p 2 0 51 869 233 183
i 2 920 0 0 54428 4117
p 2 0 217 703 448 344
p 2 0 117 803 281 246
p 2 1 220 699 7148 457
p 2 0 227 693 638 351
p 2 0 216 704 714 350
p 2 0 199 721 6887 440
p 2 0 125 795 502 256
p 2 0 84 836 290 213
p 2 1 179 740 6846 419
p 2 0 251 669 939 391
p 2 0 177 743 5348 373
p 2 0 123 797 463 252
p 2 0 197 723 5109 384
p 2 0 174 746 609 305
p 2 0 242 678 7200 490
p 2 0 129 791 517 262
p 2 0 74 846 278 204
p 2 0 170 750 6873 400
p 2 0 163 757 607 296
p 2 0 132 788 426 262
p 2 0 222 698 5449 417
p 2 0 153 767 557 286
p 2 0 88 832 328 221
p 2 0 58 862 241 190
p 2 0 88 832 326 219
p 2 0 112 808 368 243
p 2 0 83 837 306 215
p 2 2 210 708 9021 462
p 2 0 141 779 602 273
p 2 2 138 780 3501 311
p 2 0 166 754 502 293
p 2 2 102 816 3628 281
p 2 0 93 827 384 226
p 2 10 149 761 4630 385
p 2 0 102 818 393 234
p 2 12 99 809 4826 337
p 2 0 60 860 304 195
p 2 18 95 807 5717 387
p 2 0 96 824 423 230
p 2 9 131 780 4928 364
p 2 0 73 847 347 207
p 2 5 118 797 3690 308
p 2 0 99 821 432 232
p 2 8 106 806 3983 319
p 2 0 85 835 382 217
p 2 12 96 812 3289 321
p 2 0 98 822 394 230
p 2 1 145 774 2711 321
p 2 0 78 842 314 207
p 2 2 123 795 2732 298
p 2 0 116 804 394 247
p 2 11 146 763 3939 377
p 2 0 56 864 270 190
p 2 10 105 805 3157 313
p 2 0 120 800 431 250
p 2 1 74 845 1547 235
p 2 0 59 861 405 196
p 2 0 47 873 230 181
p 2 0 34 886 201 169
p 2 0 19 901 220 153
p 2 0 34 886 185 165
p 2 0 32 888 203 166
p 2 0 50 870 273 181
p 2 0 40 880 211 172
p 2 0 52 868 238 184
p 2 4 181 735 6965 435
p 2 0 136 784 523 269
p 2 1 174 745 6294 416
p 2 0 140 780 559 278
p 2 1 162 757 6243 378
p 2 0 105 815 476 241
p 2 2 159 759 7164 414
p 2 0 141 779 538 275
p 2 6 195 719 7327 473
p 2 0 126 794 480 260
p 2 3 156 761 6557 407
p 2 0 157 763 597 291
p 2 0 161 759 625 298
p 2 0 78 842 459 211
p 2 0 126 794 419 258
p 2 0 136 784 463 265
p 2 1 92 827 446 231
p 2 0 58 862 250 190
p 2 0 42 878 213 175
p 2 0 62 858 405 196
p 2 0 93 827 304 222
p 2 0 123 797 391 248
p 2 0 85 835 405 215
p 2 0 73 847 269 205
p 2 0 39 881 322 173
p 2 0 57 863 251 191
p 2 0 83 837 281 214
p 2 1 133 786 516 266
p 2 0 59 861 247 191
p 2 0 67 853 412 201
p 2 0 69 851 266 202
p 2 0 29 891 187 164
p 2 1 60 859 359 199
p 2 0 61 859 249 192
p 2 0 38 882 203 172
p 2 0 67 853 413 199
p 2 0 88 832 308 217
p 2 0 47 873 230 181
p 2 0 37 883 303 172
p 2 0 52 868 224 184
p 2 0 58 862 235 190
p 2 1 75 844 365 212
p 2 0 92 828 317 221
p 2 0 52 868 229 183
p 2 0 39 881 349 173
p 2 0 48 872 231 182
p 2 0 55 865 328 188
p 2 0 57 863 242 189
p 2 0 65 855 377 198
p 2 0 63 857 250 195
p 2 0 34 886 194 168
p 2 0 25 895 180 159
p 2 0 21 899 173 156
p 2 0 45 875 309 179
p 2 0 59 861 254 192
p 2 1 61 858 353 199
p 2 0 44 876 202 176
p 2 0 35 885 189 169
p 2 0 32 888 191 167
p 2 0 22 898 179 157
p 2 0 18 902 308 154
p 2 0 21 899 180 156
p 2 0 23 897 275 158
p 2 0 31 889 197 165
p 2 0 30 890 288 166
p 2 0 36 884 205 170
p 2 0 55 865 242 188
p 2 0 44 876 305 178
p 2 0 31 889 187 165
p 2 0 32 888 191 166
p 2 0 39 881 311 174
p 2 0 40 880 210 174
p 2 0 45 875 318 180
p 2 0 51 869 216 183
p 2 0 43 877 206 176
p 2 1 29 890 269 170
p 2 0 19 901 169 154
p 2 0 38 882 202 170
p 2 0 57 863 380 190
p 2 0 46 874 216 179
p 2 0 41 879 299 176
p 2 0 36 884 196 170
p 2 0 31 889 298 167
p 2 0 30 890 188 164
p 2 1 15 904 262 157
p 2 0 5 915 142 141
p 2 0 25 895 179 160
p 2 0 40 880 351 176
p 2 0 27 893 183 162
p 2 0 35 885 200 169
p 2 0 25 895 175 159
p 2 0 27 893 179 162
p 2 1 100 819 4738 291
p 2 0 79 841 409 215
p 2 1 62 857 359 201
p 2 0 105 815 4683 289
p 2 0 83 837 392 219
p 2 0 60 860 247 192
p 2 0 94 826 4677 286
p 2 0 71 849 382 208
p 2 0 53 867 392 187
p 2 0 37 883 221 171
p 2 0 58 862 375 190
p 2 0 67 853 310 201
p 2 0 81 839 453 215
p 2 0 63 857 248 193
p 2 0 47 873 226 182
p 2 0 32 888 195 167
p 2 0 12 908 157 148
p 2 0 18 902 172 154
p 2 0 27 893 190 162
p 2 0 41 879 224 176
p 2 0 37 883 321 172
